web-scraper-order,web-scraper-start-url,Linkitos,Linkitos-href
"1711751040-1","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/3226454/"
"1711751040-2","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/13082932/"
"1711751040-3","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/10040744/"
"1711751040-4","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/11212969/"
"1711751040-5","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9515574/"
"1711751040-6","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/11196346/"
"1711751040-7","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9515576/"
"1711751040-8","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9515580/"
"1711751040-9","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/10059190/"
"1711751040-10","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/10383216/"
"1711751040-11","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/10058505/"
"1711751040-12","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/12965820/"
"1711751040-13","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9346223/"
"1711751040-14","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9515579/"
"1711751040-15","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/10040731/"
"1711751040-16","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9484867/"
"1711751040-17","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9484941/"
"1711751040-18","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9346215/"
"1711751040-19","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9515570/"
"1711751040-20","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/10378651/"
"1711751040-21","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/10378791/"
"1711751040-22","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9323225/"
"1711751040-23","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9346218/"
"1711751040-24","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9346226/"
"1711751040-25","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9460254/"
"1711751040-26","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/10352453/"
"1711751040-27","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/13663993/"
"1711751040-28","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9484788/"
"1711751040-29","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9484886/"
"1711751040-30","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9460166/"
"1711751040-31","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9485345/"
"1711751040-32","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9485350/"
"1711751040-33","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9484797/"
"1711751040-34","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9484808/"
"1711751040-35","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9297749/"
"1711751040-36","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9322791/"
"1711751040-37","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9323226/"
"1711751040-38","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9323249/"
"1711751040-39","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9346221/"
"1711751040-40","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9460248/"
"1711751040-41","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9515571/"
"1711751040-42","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9515575/"
"1711751040-43","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/10378650/"
"1711751040-44","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/12893534/"
"1711751040-45","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9323232/"
"1711751040-46","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9322789/"
"1711751040-47","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9323241/"
"1711751040-48","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9460226/"
"1711751040-49","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9460245/"
"1711751040-50","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9460257/"
"1711751040-51","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9460280/"
"1711751040-52","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9460722/"
"1711751040-53","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9484783/"
"1711751040-54","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9484786/"
"1711751040-55","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9484790/"
"1711751040-56","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9484858/"
"1711751040-57","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9484865/"
"1711751040-58","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9484869/"
"1711751040-59","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9484874/"
"1711751040-60","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9484889/"
"1711751040-61","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/10352457/"
"1711751040-62","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9460225/"
"1711751040-63","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9460231/"
"1711751040-64","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9460220/"
"1711751040-65","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9484891/"
"1711751040-66","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9484899/"
"1711751040-67","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9484902/"
"1711751040-68","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9485336/"
"1711751040-69","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9485339/"
"1711751040-70","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9485343/"
"1711751040-71","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9485349/"
"1711751040-72","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9485353/"
"1711751040-73","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9484792/"
"1711751040-74","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9363786/"
"1711751040-75","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/11425422/"
"1711751040-76","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9484897/"
"1711751040-77","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/10071572/"
"1711751040-78","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/10040745/"
"1711751040-79","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9484898/"
"1711751040-80","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9485340/"
"1711751040-81","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9323248/"
"1711751040-82","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/10378614/"
"1711751040-83","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9484819/"
"1711751040-84","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/10228866/"
"1711751040-85","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9484863/"
"1711751040-86","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9515577/"
"1711751040-87","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/10378648/"
"1711751040-88","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/9460279/"
"1711751040-89","https://www.pexels.com/search/videos/cities/?orientation=portrait","Download","https://www.pexels.com/download/video/12318286/"
